VKennung,Matrikelnr,Note
15ss_dbprak,2926916,1
15ss_dbprak,3350783,1
15ss_dbprak,3053850,1
15ss_dbprak,3130637,1
15ss_dbprak,3518549,1
15ss_dbprak,2370095,1
15ss_dbprak,2472020,1
15ss_dbprak,3356420,1
15ss_dbprak,2483661,1
15ss_dbprak,3168118,1
15ss_dbprak,3615316,1
15ss_dbprak,3300253,1.3
15ss_dbprak,3448296,1.3
15ss_dbprak,2369791,1.3
15ss_dbprak,3891733,1.3
15ss_dbprak,3151635,1.3
15ss_dbprak,2602743,1.7
15ss_dbprak,3118365,1.7
15ss_dbprak,3441965,1.7
15ss_dbprak,2626382,1.7
15ss_dbprak,3728064,1.7
15ss_dbprak,3334322,1.7
15ss_dbprak,2816879,1.7
15ss_dbprak,2605501,1.7
15ss_dbprak,2908990,1.7
15ss_dbprak,2773103,1.7
15ss_dbprak,3477044,1.7
15ss_dbprak,2821333,1.7
15ss_dbprak,2846959,2
15ss_dbprak,3504607,2
15ss_dbprak,3495044,2.3
15ss_dbprak,3482006,2.3
15ss_dbprak,2351917,2.3
15ss_dbprak,3471945,2.3
15ss_dbprak,3494275,2.3
15ss_dbprak,2473641,2.3
15ss_dbprak,3015331,2.7
15ss_dbprak,3460607,2.7
15ss_dbprak,2959576,3
15ss_dbprak,3454077,3
15ss_dbprak,2358738,3.3
15ss_dbprak,3415052,3.3
15ss_dbprak,3866917,5
15ss_dbprak,2470865,5
15ss_dbprak,2775712,5
15ss_dbprak,3918729,5
15ss_dbprak,3289782,5
15ws_bdprak,2708641,1
15ws_bdprak,3833307,1
15ws_bdprak,3635443,1
15ws_bdprak,2700059,1
15ws_bdprak,3157792,1
15ws_bdprak,2627313,1
15ws_bdprak,3316800,1
15ws_bdprak,3224911,1
15ws_bdprak,3130637,1
15ws_bdprak,3307553,1
15ws_bdprak,3058961,1
15ws_bdprak,3505393,1
15ws_bdprak,3513182,1
15ws_bdprak,3412240,1.3
15ws_bdprak,2813425,1.3
15ws_bdprak,2445967,1.3
15ws_bdprak,3251958,1.3
15ws_bdprak,2842724,1.3
15ws_bdprak,2845296,1.3
15ws_bdprak,3073635,1.3
15ws_bdprak,2669952,1.3
15ws_bdprak,3011223,2.7
15ws_bdprak,3130430,3
15ws_sem,3859652,1
15ws_sem,3205615,1
15ws_sem,3251958,1
15ws_sem,2881419,1
15ws_sem,3782358,1
15ws_sem,3642072,1
15ws_sem,3130637,1
15ws_sem,3157792,1.3
15ws_sem,3073635,2
15ws_sem,3615316,2.3
15ws_sem,3316800,2.3
15ws_sem,3635443,2.7
15ws_sem,3011223,3
15ws_sem,3482006,3
15ws_sem,3236513,3.7
15ws_sem,3130430,5
15ws_sem,2631079,5
15ws_sem,2430940,5
15ws_sem,2602743,5
15ws_sem,2627313,5
15ws_sem,3540143,5
15ws_sem,2813425,NA
16ss_bdprak,3205615,1
16ss_bdprak,2369791,1
16ss_bdprak,2493045,1
16ss_bdprak,3179540,1
16ss_bdprak,2528097,1
16ss_bdprak,3667891,1
16ss_bdprak,3922903,1
16ss_bdprak,2669952,1
16ss_bdprak,3499925,1.3
16ss_bdprak,3441398,1.3
16ss_bdprak,2472020,1.3
16ss_bdprak,3782358,1.3
16ss_bdprak,3743614,1.3
16ss_bdprak,2905144,1.3
16ss_bdprak,3907982,1.3
16ss_bdprak,2445967,1.3
16ss_bdprak,2908677,2.3
16ss_bdprak,3392138,2.3
16ss_dbprak,2383851,1
16ss_dbprak,3314611,1
16ss_dbprak,2683253,1
16ss_dbprak,2858618,1
16ss_dbprak,3232461,1
16ss_dbprak,2757371,1
16ss_dbprak,3916123,1
16ss_dbprak,3062645,1
16ss_dbprak,3936117,1
16ss_dbprak,2462493,1
16ss_dbprak,2514389,1
16ss_dbprak,3187066,1
16ss_dbprak,3137802,1
16ss_dbprak,2831427,1
16ss_dbprak,3714685,1
16ss_dbprak,3879441,1
16ss_dbprak,2804619,1
16ss_dbprak,3471063,1.3
16ss_dbprak,2537652,1.3
16ss_dbprak,2901139,1.3
16ss_dbprak,2449868,1.3
16ss_dbprak,3272791,1.3
16ss_dbprak,3662045,1.3
16ss_dbprak,3748078,1.3
16ss_dbprak,3535585,1.7
16ss_dbprak,2604659,1.7
16ss_dbprak,3408971,1.7
16ss_dbprak,2637085,2
16ss_dbprak,2621600,2
16ss_dbprak,3069997,2
16ss_dbprak,3267278,2.3
16ss_dbprak,3830777,2.3
16ss_dbprak,3304557,2.3
16ss_dbprak,3830302,2.3
16ws_dwhprak,2938009,1
16ws_dwhprak,2445967,1
16ws_dwhprak,3891733,1
16ws_dwhprak,3370698,1
16ws_dwhprak,3091456,1
16ws_dwhprak,3130637,1
16ws_dwhprak,2908677,1
16ws_dwhprak,2528097,1.3
16ws_dwhprak,3477044,1.3
16ws_dwhprak,3392138,1.3
16ws_dwhprak,3450035,1.3
16ws_dwhprak,3181640,1.3
16ws_sem,3891733,1
16ws_sem,2445967,1
16ws_sem,2497651,1
16ws_sem,2528097,1
16ws_sem,3314611,1
16ws_sem,3513182,1
16ws_sem,3350783,1.7
16ws_sem,3181640,1.7
16ws_sem,3748078,1.7
16ws_sem,2669952,1.7
16ws_sem,3540143,2
16ws_sem,3726028,2.3
16ws_sem,3770259,3.3
16ws_sem,2804376,5
17ss_bdprak,2390465,1
17ss_bdprak,3894627,1
17ss_bdprak,2804376,1
17ss_bdprak,3314611,1
17ss_bdprak,2660628,1
17ss_bdprak,3891733,1
17ss_bdprak,3370698,1.3
17ss_bdprak,2804619,1.3
17ss_bdprak,2370608,1.3
17ss_bdprak,2538534,1.7
17ss_bdprak,2908677,1.7
17ss_bdprak,3450035,1.7
17ss_bdprak,3350783,2
17ss_bdprak,3477044,2
17ss_bdprak,2454758,2.7
17ss_bdprak,3153305,3
17ss_bdprak,2964297,3.7
17ss_bdprak,3117865,5
17ss_dbprak,3199661,1
17ss_dbprak,2772171,1
17ss_dbprak,3872457,1
17ss_dbprak,3183654,1
17ss_dbprak,2817638,1
17ss_dbprak,2355955,1
17ss_dbprak,3624712,1
17ss_dbprak,3694297,1
17ss_dbprak,3366961,1
17ss_dbprak,3227895,1
17ss_dbprak,3577854,1
17ss_dbprak,2603951,1
17ss_dbprak,2419134,1
17ss_dbprak,3162066,1
17ss_dbprak,2824223,1
17ss_dbprak,2636152,1
17ss_dbprak,2773893,1
17ss_dbprak,3290013,1
17ss_dbprak,2974186,1
17ss_dbprak,2453644,1
17ss_dbprak,2394070,1
17ss_dbprak,3622686,1
17ss_dbprak,2558967,1
17ss_dbprak,3767291,1
17ss_dbprak,2507880,1
17ss_dbprak,2542549,1
17ss_dbprak,2606022,1
17ss_dbprak,2459357,1.3
17ss_dbprak,2972377,1.3
17ss_dbprak,3217844,1.3
17ss_dbprak,2986175,1.3
17ss_dbprak,3385247,1.3
17ss_dbprak,2867038,1.3
17ss_dbprak,3797131,1.3
17ss_dbprak,3125925,1.3
17ss_dbprak,3419107,1.3
17ss_dbprak,2406751,1.3
17ss_dbprak,2554353,1.3
17ss_dbprak,2604150,1.3
17ss_dbprak,3533392,1.7
17ss_dbprak,3747484,1.7
17ss_dbprak,3006293,2
17ss_dbprak,3027376,2
17ss_dbprak,3660069,2.3
17ss_dbprak,2346317,2.3
17ss_dbprak,2964297,2.7
17ss_dbprak,3392138,3
17ss_dbprak,2988447,3
17ss_dbprak,2390585,3
17ss_dbprak,3775958,5
17ss_dbprak,2897655,5
17ss_dbprak,3082695,5
17ss_rivo,3477044,1
17ss_rivo,3694017,1
17ss_rivo,3314611,1
17ss_rivo,3891733,1
17ss_rivo,3350783,1
17ss_rivo,2969842,1.3
17ss_rivo,2895523,1.3
17ss_rivo,3635443,1.3
17ss_rivo,3353318,1.3
17ss_rivo,3513182,1.3
17ss_rivo,3092899,1.7
17ss_rivo,3726028,2
17ss_rivo,3181640,2.3
17ws_dwhprak,2561022,1
17ws_dwhprak,3228470,1
17ws_dwhprak,3029075,1
17ws_dwhprak,2385615,1.3
17ws_dwhprak,2969842,1.3
17ws_dwhprak,2895523,1.3
17ws_dwhprak,2628926,1.7
17ws_dwhprak,3137802,2
17ws_dwhprak,3635443,2
17ws_dwhprak,3080021,3.3
17ws_dwhprak,2749752,3.3
17ws_dwhprak,3117865,5
17ws_dwhprak,2659955,5
17ws_sem,3314611,1
17ws_sem,2659955,1
17ws_sem,2522516,1
17ws_sem,3092899,1.3
17ws_sem,3829731,1.3
17ws_sem,2636152,1.3
17ws_sem,3370698,1.3
17ws_sem,2628926,1.7
17ws_sem,3304557,2.7
17ws_sem,3015658,2.7
17ws_sem,3117865,3
17ws_sem,3524253,3.3
18ss_bdprak,3936117,1
18ss_bdprak,3187066,1
18ss_bdprak,3657067,1
18ss_bdprak,3173160,1
18ss_bdprak,2449868,1
18ss_bdprak,2483661,1
18ss_bdprak,3463754,1
18ss_bdprak,2628926,1
18ss_bdprak,3314611,1
18ss_bdprak,2410997,1.3
18ss_bdprak,3585883,1.3
18ss_bdprak,3137802,1.3
18ss_bdprak,3228470,1.3
18ss_bdprak,2820783,1.7
18ss_bdprak,2955328,2
18ss_bdprak,2723339,2
18ss_bdprak,2637085,2.3
18ss_bdprak,2621600,2.3
18ss_bdprak,3878392,2.3
18ss_bdprak,3683633,2.3
18ss_bdprak,2385615,2.7
18ss_bdprak,3922865,2.7
18ss_bdprak,3356420,3.3
18ss_bdprak,2604659,3.3
18ss_bdprak,2537476,5
18ss_bdprak,3112386,5
18ss_dbprak,3100822,1
18ss_dbprak,3913083,1
18ss_dbprak,3707493,1
18ss_dbprak,3610034,1
18ss_dbprak,3189626,1
18ss_dbprak,3455621,1
18ss_dbprak,3807055,1
18ss_dbprak,2909555,1
18ss_dbprak,2383120,1
18ss_dbprak,2822033,1
18ss_dbprak,2628926,1
18ss_dbprak,2592065,1
18ss_dbprak,3342771,1
18ss_dbprak,3508139,1
18ss_dbprak,2966456,1
18ss_dbprak,2994539,1
18ss_dbprak,2478222,1
18ss_dbprak,2796538,1
18ss_dbprak,3821685,1
18ss_dbprak,3603729,1
18ss_dbprak,3200789,1
18ss_dbprak,2376791,1
18ss_dbprak,3226567,1
18ss_dbprak,2378843,1
18ss_dbprak,3218234,1
18ss_dbprak,3877225,1
18ss_dbprak,2922716,1.3
18ss_dbprak,2873825,1.3
18ss_dbprak,3365595,1.3
18ss_dbprak,2816493,1.3
18ss_dbprak,2395873,1.3
18ss_dbprak,3654202,1.3
18ss_dbprak,3178618,1.3
18ss_dbprak,3423919,1.3
18ss_dbprak,3450458,1.3
18ss_dbprak,2403788,1.3
18ss_dbprak,2762308,1.3
18ss_dbprak,3295251,1.7
18ss_dbprak,3874177,1.7
18ss_dbprak,3100069,1.7
18ss_dbprak,2704961,2
18ss_dbprak,3802617,2
18ss_dbprak,3840457,2
18ss_dbprak,3847942,5
18ss_dbprak,2904689,5
18ss_dbprak,2897655,5
18ss_dbprak,3082695,5
18ss_dbprak,2440086,5
18ss_dbprak,3555811,5
